,ranking,artist,title,last_week_rank,peak_position,weeks_on_chart,chart_date
2006-04-29_7,7,Rob Thomas,Lonely No More,7,1,62,2006-04-29
2006-04-29_8,8,Natasha Bedingfield,Unwritten,11,8,7,2006-04-29
2006-04-29_9,9,LeAnn Rimes,Probably Wouldn't Be This Way,8,8,14,2006-04-29
2006-04-29_10,10,Santana Featuring Michelle Branch & The Wreckers,I'm Feeling You,9,5,31,2006-04-29
2006-04-29_11,11,Faith Hill,Like We Never Loved At All,12,11,29,2006-04-29
2006-04-29_12,12,Rob Thomas,Ever The Same,13,12,18,2006-04-29
2006-04-29_13,13,Carrie Underwood,Some Hearts,14,13,10,2006-04-29
2006-04-29_14,14,Sheryl Crow & Sting,Always On Your Side,15,14,9,2006-04-29
2006-04-29_15,15,Chris Rice,When Did You Fall (In Love With Me),16,15,10,2006-04-29
2006-04-29_16,16,Nickelback,Photograph,17,16,22,2006-04-29
2006-04-29_17,17,Hootie & The Blowfish,Get Out Of My Mind,21,17,6,2006-04-29
2006-04-29_18,18,Goo Goo Dolls,Better Days,18,17,21,2006-04-29
2006-04-29_19,19,Train,Cab,20,19,11,2006-04-29
2006-04-29_20,20,Bon Jovi,Who Says You Can't Go Home,22,20,10,2006-04-29
2006-04-29_21,21,Chicago,Feel,19,19,6,2006-04-29
2006-04-29_22,22,Nick Lachey,What's Left Of Me,24,22,4,2006-04-29
2006-04-29_23,23,Dian Diaz,Colour Everywhere,23,23,12,2006-04-29
2006-04-29_24,24,Nicol Sponberg,Crazy In Love,26,24,2,2006-04-29
2006-04-29_25,25,Carrie Underwood,"Jesus, Take The Wheel",25,25,6,2006-04-29
2006-04-29_26,26,Kelly Clarkson,Walk Away,28,26,4,2006-04-29
2006-04-29_27,27,Rob Thomas,This Is How A Heart Breaks,29,25,16,2006-04-29
2006-04-29_28,28,Bo Bice,The Real Thing,0,28,1,2006-04-29
2006-04-29_29,29,The Pussycat Dolls,Stickwitu,31,29,4,2006-04-29
2006-04-29_30,30,Santana Featuring Steven Tyler,Just Feel Better,30,28,12,2006-04-29
2006-04-29_31,31,Darren Hayes,So Beautiful,32,27,13,2006-04-29
2006-04-29_32,32,Barry Manilow,Love Is A Many Splendored Thing,0,32,1,2006-04-29
2006-04-29_33,33,Barry Manilow,Unchained Melody,27,20,13,2006-04-29
2006-04-29_34,34,Cascada,Everytime We Touch,0,34,1,2006-04-29
2006-04-29_35,35,Dixie Chicks,Not Ready To Make Nice,34,34,3,2006-04-29
2006-04-29_36,36,Bird York,In The Deep,35,35,4,2006-04-29
2006-04-29_37,37,John Legend,Ordinary People,33,32,8,2006-04-29
2006-04-29_38,38,Howie Day,She Says,38,31,14,2006-04-29
2006-04-29_39,39,Jade,Lay Me Down,37,37,2,2006-04-29
2006-04-29_40,40,Trisha Yearwood,Trying To Love You,36,28,6,2006-04-29
2006-05-06_1,1,James Blunt,You're Beautiful,1,1,37,2006-05-06
2006-05-06_2,2,Daniel Powter,Bad Day,2,2,17,2006-05-06
2006-05-06_3,3,Kelly Clarkson,Because Of You,4,3,28,2006-05-06
2006-05-06_4,4,Lifehouse,You And Me,3,1,44,2006-05-06
2006-05-06_5,5,Michael Buble,Save The Last Dance For Me,5,5,15,2006-05-06
2006-05-06_6,6,Keith Urban,Making Memories Of Us,6,5,17,2006-05-06
2006-05-06_7,7,Natasha Bedingfield,Unwritten,8,7,8,2006-05-06
2006-05-06_8,8,Rob Thomas,Lonely No More,7,1,63,2006-05-06
2006-05-06_9,9,LeAnn Rimes,Probably Wouldn't Be This Way,9,8,15,2006-05-06
2006-05-06_10,10,Faith Hill,Like We Never Loved At All,11,10,30,2006-05-06
2006-05-06_11,11,Rob Thomas,Ever The Same,12,11,19,2006-05-06
2006-05-06_12,12,Santana Featuring Michelle Branch & The Wreckers,I'm Feeling You,10,5,32,2006-05-06
2006-05-06_13,13,Carrie Underwood,Some Hearts,13,13,11,2006-05-06
2006-05-06_14,14,Sheryl Crow & Sting,Always On Your Side,14,14,10,2006-05-06
2006-05-06_15,15,Chris Rice,When Did You Fall (In Love With Me),15,15,11,2006-05-06
2006-05-06_16,16,Nickelback,Photograph,16,16,23,2006-05-06
2006-05-06_17,17,Hootie & The Blowfish,Get Out Of My Mind,17,17,7,2006-05-06
2006-05-06_18,18,Bon Jovi,Who Says You Can't Go Home,20,18,11,2006-05-06
2006-05-06_19,19,Train,Cab,19,19,12,2006-05-06
2006-05-06_20,20,Nick Lachey,What's Left Of Me,22,20,5,2006-05-06
2006-05-06_21,21,Chicago,Feel,21,19,7,2006-05-06
2006-05-06_22,22,Kelly Clarkson,Walk Away,26,22,5,2006-05-06
2006-05-06_23,23,Carrie Underwood,"Jesus, Take The Wheel",25,23,7,2006-05-06
2006-05-06_24,24,Nicol Sponberg,Crazy In Love,24,24,3,2006-05-06
2006-05-06_25,25,Dian Diaz,Colour Everywhere,23,23,13,2006-05-06
2006-05-06_26,26,Bo Bice,The Real Thing,28,26,2,2006-05-06
2006-05-06_27,27,Rob Thomas,This Is How A Heart Breaks,27,25,17,2006-05-06
2006-05-06_28,28,Cascada,Everytime We Touch,34,28,2,2006-05-06
2006-05-06_29,29,Madonna,Hung Up,0,29,1,2006-05-06
2006-05-06_30,30,The Pussycat Dolls,Stickwitu,29,29,5,2006-05-06
2006-05-06_31,31,Santana Featuring Steven Tyler,Just Feel Better,30,28,13,2006-05-06
2006-05-06_32,32,Dixie Chicks,Not Ready To Make Nice,35,32,4,2006-05-06
2006-05-06_33,33,Barry Manilow,Love Is A Many Splendored Thing,32,32,2,2006-05-06
2006-05-06_34,34,John Legend,Ordinary People,37,32,9,2006-05-06
2006-05-06_35,35,Jade,Lay Me Down,39,35,3,2006-05-06
2006-05-06_36,36,Darren Hayes,So Beautiful,31,27,14,2006-05-06
2006-05-06_37,37,The Fray,Over My Head (Cable Car),0,37,1,2006-05-06
2006-05-06_38,38,MercyMe,So Long Self,0,38,1,2006-05-06
2006-05-06_39,39,Chantal Chamandy,Feels Like Love,0,39,1,2006-05-06
2006-05-06_40,40,Trisha Yearwood,Trying To Love You,40,28,7,2006-05-06
2006-05-13_1,1,Daniel Powter,Bad Day,2,1,18,2006-05-13
2006-05-13_2,2,James Blunt,You're Beautiful,1,1,38,2006-05-13
2006-05-13_3,3,Kelly Clarkson,Because Of You,3,3,29,2006-05-13
2006-05-13_4,4,Lifehouse,You And Me,4,1,45,2006-05-13
2006-05-13_5,5,Michael Buble,Save The Last Dance For Me,5,5,16,2006-05-13
2006-05-13_6,6,Keith Urban,Making Memories Of Us,6,5,18,2006-05-13
2006-05-13_7,7,Natasha Bedingfield,Unwritten,7,7,9,2006-05-13
2006-05-13_8,8,LeAnn Rimes,Probably Wouldn't Be This Way,9,8,16,2006-05-13
2006-05-13_9,9,Rob Thomas,Lonely No More,8,1,64,2006-05-13
2006-05-13_10,10,Faith Hill,Like We Never Loved At All,10,10,31,2006-05-13
2006-05-13_11,11,Rob Thomas,Ever The Same,11,11,20,2006-05-13
2006-05-13_12,12,Santana Featuring Michelle Branch & The Wreckers,I'm Feeling You,12,5,33,2006-05-13
2006-05-13_13,13,Carrie Underwood,Some Hearts,13,13,12,2006-05-13
2006-05-13_14,14,Sheryl Crow & Sting,Always On Your Side,14,14,11,2006-05-13
2006-05-13_15,15,Chris Rice,When Did You Fall (In Love With Me),15,15,12,2006-05-13
2006-05-13_16,16,Nick Lachey,What's Left Of Me,20,16,6,2006-05-13
2006-05-13_17,17,Nickelback,Photograph,16,16,24,2006-05-13
2006-05-13_18,18,Hootie & The Blowfish,Get Out Of My Mind,17,17,8,2006-05-13
2006-05-13_19,19,Bon Jovi,Who Says You Can't Go Home,18,18,12,2006-05-13
2006-05-13_20,20,Train,Cab,19,19,13,2006-05-13
2006-05-13_21,21,Nicol Sponberg,Crazy In Love,24,21,4,2006-05-13
2006-05-13_22,22,Bo Bice,The Real Thing,26,22,3,2006-05-13
2006-05-13_23,23,MercyMe,So Long Self,38,23,2,2006-05-13
2006-05-13_24,24,Carrie Underwood,"Jesus, Take The Wheel",23,23,8,2006-05-13
2006-05-13_25,25,Kelly Clarkson,Walk Away,22,22,6,2006-05-13
2006-05-13_26,26,Chicago,Feel,21,19,8,2006-05-13
2006-05-13_27,27,Dian Diaz,Colour Everywhere,25,23,14,2006-05-13
2006-05-13_28,28,Cascada,Everytime We Touch,28,28,3,2006-05-13
2006-05-13_29,29,The Fray,Over My Head (Cable Car),37,29,2,2006-05-13
2006-05-13_30,30,The Pussycat Dolls,Stickwitu,30,29,6,2006-05-13
2006-05-13_31,31,Rob Thomas,This Is How A Heart Breaks,27,25,18,2006-05-13
2006-05-13_32,32,Madonna,Hung Up,29,29,2,2006-05-13
2006-05-13_33,33,Santana Featuring Steven Tyler,Just Feel Better,31,28,14,2006-05-13
2006-05-13_34,34,Barry Manilow,Love Is A Many Splendored Thing,33,32,3,2006-05-13
2006-05-13_35,35,Howie Day,She Says,0,31,15,2006-05-13
2006-05-13_36,36,Jade,Lay Me Down,35,35,4,2006-05-13
2006-05-13_37,37,John Legend,Ordinary People,34,32,10,2006-05-13
2006-05-13_38,38,Chicago,Love Will Come Back,0,38,1,2006-05-13
2006-05-13_39,39,Dixie Chicks,Not Ready To Make Nice,32,32,5,2006-05-13
2006-05-13_40,40,Rascal Flatts,What Hurts The Most,0,40,3,2006-05-13
2006-05-20_1,1,Daniel Powter,Bad Day,1,1,19,2006-05-20
2006-05-20_2,2,James Blunt,You're Beautiful,2,1,39,2006-05-20
2006-05-20_3,3,Lifehouse,You And Me,4,1,46,2006-05-20
2006-05-20_4,4,Kelly Clarkson,Because Of You,3,3,30,2006-05-20
2006-05-20_5,5,Michael Buble,Save The Last Dance For Me,5,5,17,2006-05-20
2006-05-20_6,6,Natasha Bedingfield,Unwritten,7,6,10,2006-05-20
2006-05-20_7,7,Keith Urban,Making Memories Of Us,6,5,19,2006-05-20
2006-05-20_8,8,Rob Thomas,Lonely No More,9,1,65,2006-05-20
2006-05-20_9,9,LeAnn Rimes,Probably Wouldn't Be This Way,8,8,17,2006-05-20
2006-05-20_10,10,Faith Hill,Like We Never Loved At All,10,10,32,2006-05-20
2006-05-20_11,11,Rob Thomas,Ever The Same,11,11,21,2006-05-20
2006-05-20_12,12,Santana Featuring Michelle Branch & The Wreckers,I'm Feeling You,12,5,34,2006-05-20
2006-05-20_13,13,Carrie Underwood,Some Hearts,13,13,13,2006-05-20
2006-05-20_14,14,Sheryl Crow & Sting,Always On Your Side,14,14,12,2006-05-20
2006-05-20_15,15,Chris Rice,When Did You Fall (In Love With Me),15,15,13,2006-05-20
2006-05-20_16,16,Nick Lachey,What's Left Of Me,16,16,7,2006-05-20
2006-05-20_17,17,Nickelback,Photograph,17,16,25,2006-05-20
2006-05-20_18,18,Bon Jovi,Who Says You Can't Go Home,19,18,13,2006-05-20
2006-05-20_19,19,Hootie & The Blowfish,Get Out Of My Mind,18,17,9,2006-05-20
2006-05-20_20,20,Nicol Sponberg,Crazy In Love,21,20,5,2006-05-20
2006-05-20_21,21,Train,Cab,20,19,14,2006-05-20
2006-05-20_22,22,MercyMe,So Long Self,23,22,3,2006-05-20
2006-05-20_23,23,Bo Bice,The Real Thing,22,22,4,2006-05-20
2006-05-20_24,24,Kelly Clarkson,Walk Away,25,22,7,2006-05-20
2006-05-20_25,25,Carrie Underwood,"Jesus, Take The Wheel",24,23,9,2006-05-20
2006-05-20_26,26,Dian Diaz,Colour Everywhere,27,23,15,2006-05-20
2006-05-20_27,27,The Fray,Over My Head (Cable Car),29,27,3,2006-05-20
2006-05-20_28,28,Cascada,Everytime We Touch,28,28,4,2006-05-20
2006-05-20_29,29,Chicago,Feel,26,19,9,2006-05-20
2006-05-20_30,30,KT Tunstall,Black Horse & The Cherry Tree,0,30,1,2006-05-20
2006-05-20_31,31,The Pussycat Dolls,Stickwitu,30,29,7,2006-05-20
2006-05-20_32,32,Nickelback,Savin' Me,0,32,1,2006-05-20
2006-05-20_33,33,Chicago,Love Will Come Back,38,33,2,2006-05-20
2006-05-20_34,34,Madonna,Hung Up,32,29,3,2006-05-20
2006-05-20_35,35,Jade,Lay Me Down,36,35,5,2006-05-20
2006-05-20_36,36,Rin With Lisa Loeb,Anti Hero,0,36,1,2006-05-20
2006-05-20_37,37,Chantal Chamandy,Feels Like Love,0,37,2,2006-05-20
2006-05-20_38,38,Santana Featuring Steven Tyler,Just Feel Better,33,28,15,2006-05-20
2006-05-20_39,39,Dixie Chicks,Not Ready To Make Nice,39,32,6,2006-05-20
2006-05-20_40,40,Howie Day,She Says,35,31,16,2006-05-20
2006-05-27_1,1,Daniel Powter,Bad Day,1,1,20,2006-05-27
2006-05-27_2,2,James Blunt,You're Beautiful,2,1,40,2006-05-27
2006-05-27_3,3,Lifehouse,You And Me,3,1,47,2006-05-27
2006-05-27_4,4,Kelly Clarkson,Because Of You,4,3,31,2006-05-27
2006-05-27_5,5,Natasha Bedingfield,Unwritten,6,5,11,2006-05-27
2006-05-27_6,6,Michael Buble,Save The Last Dance For Me,5,5,18,2006-05-27
2006-05-27_7,7,Keith Urban,Making Memories Of Us,7,5,20,2006-05-27
2006-05-27_8,8,Rob Thomas,Lonely No More,8,1,66,2006-05-27
2006-05-27_9,9,Faith Hill,Like We Never Loved At All,10,9,33,2006-05-27
2006-05-27_10,10,Rob Thomas,Ever The Same,11,10,22,2006-05-27
2006-05-27_11,11,LeAnn Rimes,Probably Wouldn't Be This Way,9,8,18,2006-05-27
2006-05-27_12,12,Carrie Underwood,Some Hearts,13,12,14,2006-05-27
2006-05-27_13,13,Chris Rice,When Did You Fall (In Love With Me),15,13,14,2006-05-27
2006-05-27_14,14,Sheryl Crow & Sting,Always On Your Side,14,14,13,2006-05-27
2006-05-27_15,15,Santana Featuring Michelle Branch & The Wreckers,I'm Feeling You,12,5,35,2006-05-27
2006-05-27_16,16,Nick Lachey,What's Left Of Me,16,16,8,2006-05-27
2006-05-27_17,17,Bon Jovi,Who Says You Can't Go Home,18,17,14,2006-05-27
2006-05-27_18,18,Nickelback,Photograph,17,16,26,2006-05-27
2006-05-27_19,19,Hootie & The Blowfish,Get Out Of My Mind,19,17,10,2006-05-27
2006-05-27_20,20,MercyMe,So Long Self,22,20,4,2006-05-27
2006-05-27_21,21,Bo Bice,The Real Thing,23,21,5,2006-05-27
2006-05-27_22,22,Nicol Sponberg,Crazy In Love,20,20,6,2006-05-27
2006-05-27_23,23,Kelly Clarkson,Walk Away,24,22,8,2006-05-27
2006-05-27_24,24,Train,Cab,21,19,15,2006-05-27
2006-05-27_25,25,Carrie Underwood,"Jesus, Take The Wheel",25,23,10,2006-05-27
2006-05-27_26,26,The Fray,Over My Head (Cable Car),27,26,4,2006-05-27
2006-05-27_27,27,Dian Diaz,Colour Everywhere,26,23,16,2006-05-27
2006-05-27_28,28,KT Tunstall,Black Horse & The Cherry Tree,30,28,2,2006-05-27
2006-05-27_29,29,Chicago,Love Will Come Back,33,29,3,2006-05-27
2006-05-27_30,30,Cascada,Everytime We Touch,28,28,5,2006-05-27
2006-05-27_31,31,Nickelback,Savin' Me,32,31,2,2006-05-27
2006-05-27_32,32,Jade,Lay Me Down,35,32,6,2006-05-27
2006-05-27_33,33,The Pussycat Dolls,Stickwitu,31,29,8,2006-05-27
2006-05-27_34,34,Jack Johnson,Upside Down,0,34,1,2006-05-27
2006-05-27_35,35,Chantal Chamandy,Feels Like Love,37,35,3,2006-05-27
2006-05-27_36,36,Chicago,Feel,29,19,10,2006-05-27
2006-05-27_37,37,Jewel,Again And Again,0,37,2,2006-05-27
2006-05-27_38,38,Santana Featuring Steven Tyler,Just Feel Better,38,28,16,2006-05-27
2006-05-27_39,39,Madonna,Hung Up,34,29,4,2006-05-27
2006-05-27_40,40,LaToya London,State Of My Heart,0,40,1,2006-05-27
2006-06-03_1,1,Daniel Powter,Bad Day,1,1,21,2006-06-03
2006-06-03_2,2,James Blunt,You're Beautiful,2,1,41,2006-06-03
2006-06-03_3,3,Kelly Clarkson,Because Of You,4,3,32,2006-06-03
2006-06-03_4,4,Lifehouse,You And Me,3,1,48,2006-06-03
2006-06-03_5,5,Natasha Bedingfield,Unwritten,5,5,12,2006-06-03
2006-06-03_6,6,Michael Buble,Save The Last Dance For Me,6,5,19,2006-06-03
2006-06-03_7,7,Keith Urban,Making Memories Of Us,7,5,21,2006-06-03
2006-06-03_8,8,Rob Thomas,Lonely No More,8,1,67,2006-06-03
2006-06-03_9,9,Rob Thomas,Ever The Same,10,9,23,2006-06-03
2006-06-03_10,10,Faith Hill,Like We Never Loved At All,9,9,34,2006-06-03
2006-06-03_11,11,LeAnn Rimes,Probably Wouldn't Be This Way,11,8,19,2006-06-03
2006-06-03_12,12,Sheryl Crow & Sting,Always On Your Side,14,12,14,2006-06-03
2006-06-03_13,13,Chris Rice,When Did You Fall (In Love With Me),13,13,15,2006-06-03
2006-06-03_14,14,Carrie Underwood,Some Hearts,12,12,15,2006-06-03
2006-06-03_15,15,Santana Featuring Michelle Branch & The Wreckers,I'm Feeling You,15,5,36,2006-06-03
2006-06-03_16,16,Nick Lachey,What's Left Of Me,16,16,9,2006-06-03
2006-06-03_17,17,Bon Jovi,Who Says You Can't Go Home,17,17,15,2006-06-03
2006-06-03_18,18,Hootie & The Blowfish,Get Out Of My Mind,19,17,11,2006-06-03
2006-06-03_19,19,MercyMe,So Long Self,20,19,5,2006-06-03
2006-06-03_20,20,Bo Bice,The Real Thing,21,20,6,2006-06-03
2006-06-03_21,21,Nicol Sponberg,Crazy In Love,22,20,7,2006-06-03
2006-06-03_22,22,Kelly Clarkson,Walk Away,23,22,9,2006-06-03
2006-06-03_23,23,Train,Cab,24,19,16,2006-06-03
2006-06-03_24,24,Chicago,Love Will Come Back,29,24,4,2006-06-03
2006-06-03_25,25,Carrie Underwood,"Jesus, Take The Wheel",25,23,11,2006-06-03
2006-06-03_26,26,Five for Fighting,The Riddle,0,26,1,2006-06-03
2006-06-03_27,27,KT Tunstall,Black Horse & The Cherry Tree,28,27,3,2006-06-03
2006-06-03_28,28,The Fray,Over My Head (Cable Car),26,26,5,2006-06-03
2006-06-03_29,29,Cascada,Everytime We Touch,30,28,6,2006-06-03
2006-06-03_30,30,Dian Diaz,Colour Everywhere,27,23,17,2006-06-03
2006-06-03_31,31,Nickelback,Savin' Me,31,31,3,2006-06-03
2006-06-03_32,32,Chantal Chamandy,Feels Like Love,35,32,4,2006-06-03
2006-06-03_33,33,Jade,Lay Me Down,32,32,7,2006-06-03
2006-06-03_34,34,The Pussycat Dolls,Stickwitu,33,29,9,2006-06-03
2006-06-03_35,35,Jack Johnson,Upside Down,34,34,2,2006-06-03
2006-06-03_36,36,Rascal Flatts,What Hurts The Most,0,36,4,2006-06-03
2006-06-03_37,37,Dixie Chicks,Not Ready To Make Nice,0,32,7,2006-06-03
2006-06-03_38,38,Jewel,Again And Again,37,37,3,2006-06-03
2006-06-03_39,39,Los Lonely Boys,Diamonds,0,39,1,2006-06-03
2006-06-03_40,40,Rin With Lisa Loeb,Anti Hero,0,36,2,2006-06-03
2006-06-10_1,1,Daniel Powter,Bad Day,1,1,22,2006-06-10
2006-06-10_2,2,James Blunt,You're Beautiful,2,1,42,2006-06-10
2006-06-10_3,3,Lifehouse,You And Me,4,1,49,2006-06-10
2006-06-10_4,4,Kelly Clarkson,Because Of You,3,3,33,2006-06-10
2006-06-10_5,5,Michael Buble,Save The Last Dance For Me,6,5,20,2006-06-10
2006-06-10_6,6,Natasha Bedingfield,Unwritten,5,5,13,2006-06-10
2006-06-10_7,7,Keith Urban,Making Memories Of Us,7,5,22,2006-06-10
2006-06-10_8,8,Rob Thomas,Ever The Same,9,8,24,2006-06-10
2006-06-10_9,9,Faith Hill,Like We Never Loved At All,10,9,35,2006-06-10
2006-06-10_10,10,Rob Thomas,Lonely No More,8,1,68,2006-06-10
2006-06-10_11,11,LeAnn Rimes,Probably Wouldn't Be This Way,11,8,20,2006-06-10
2006-06-10_12,12,Sheryl Crow & Sting,Always On Your Side,12,12,15,2006-06-10
2006-06-10_13,13,Chris Rice,When Did You Fall (In Love With Me),13,13,16,2006-06-10
2006-06-10_14,14,Carrie Underwood,Some Hearts,14,12,16,2006-06-10
2006-06-10_15,15,Nick Lachey,What's Left Of Me,16,15,10,2006-06-10
2006-06-10_16,16,Bon Jovi,Who Says You Can't Go Home,17,16,16,2006-06-10
2006-06-10_17,17,Nicol Sponberg,Crazy In Love,21,17,8,2006-06-10
2006-06-10_18,18,MercyMe,So Long Self,19,18,6,2006-06-10
2006-06-10_19,19,Bo Bice,The Real Thing,20,19,7,2006-06-10
2006-06-10_20,20,Hootie & The Blowfish,Get Out Of My Mind,18,17,12,2006-06-10
2006-06-10_21,21,Taylor Hicks,Do I Make You Proud,0,21,1,2006-06-10
2006-06-10_22,22,Kelly Clarkson,Walk Away,22,22,10,2006-06-10
2006-06-10_23,23,Five for Fighting,The Riddle,26,23,2,2006-06-10
2006-06-10_24,24,Chicago,Love Will Come Back,24,24,5,2006-06-10
2006-06-10_25,25,Carrie Underwood,"Jesus, Take The Wheel",25,23,12,2006-06-10
2006-06-10_26,26,KT Tunstall,Black Horse & The Cherry Tree,27,26,4,2006-06-10
2006-06-10_27,27,Train,Cab,23,19,17,2006-06-10
2006-06-10_28,28,Rascal Flatts,What Hurts The Most,36,28,5,2006-06-10
2006-06-10_29,29,The Fray,Over My Head (Cable Car),28,26,6,2006-06-10
2006-06-10_30,30,Cascada,Everytime We Touch,29,28,7,2006-06-10
2006-06-10_31,31,Dian Diaz,Colour Everywhere,30,23,18,2006-06-10
2006-06-10_32,32,Jack Johnson,Upside Down,35,32,3,2006-06-10
2006-06-10_33,33,Nickelback,Savin' Me,31,31,4,2006-06-10
2006-06-10_34,34,Chantal Chamandy,Feels Like Love,32,32,5,2006-06-10
2006-06-10_35,35,Jade,Lay Me Down,33,32,8,2006-06-10
2006-06-10_36,36,Darren Hayes,So Beautiful,0,27,15,2006-06-10
2006-06-10_37,37,Dixie Chicks,Not Ready To Make Nice,37,32,8,2006-06-10
2006-06-10_38,38,Jewel,Again And Again,38,37,4,2006-06-10
2006-06-10_39,39,Livingston Taylor Featuring Carly Simon,Best Of Friends,0,39,1,2006-06-10
2006-06-10_40,40,Staind,Right Here,0,40,1,2006-06-10
2006-06-17_1,1,Daniel Powter,Bad Day,1,1,23,2006-06-17
2006-06-17_2,2,James Blunt,You're Beautiful,2,1,43,2006-06-17
2006-06-17_3,3,Lifehouse,You And Me,3,1,50,2006-06-17
2006-06-17_4,4,Natasha Bedingfield,Unwritten,6,4,14,2006-06-17
2006-06-17_5,5,Kelly Clarkson,Because Of You,4,3,34,2006-06-17
2006-06-17_6,6,Michael Buble,Save The Last Dance For Me,5,5,21,2006-06-17
2006-06-17_7,7,Rob Thomas,Ever The Same,8,7,25,2006-06-17
2006-06-17_8,8,Keith Urban,Making Memories Of Us,7,5,23,2006-06-17
2006-06-17_9,9,Faith Hill,Like We Never Loved At All,9,9,36,2006-06-17
2006-06-17_10,10,Rob Thomas,Lonely No More,10,1,69,2006-06-17
2006-06-17_11,11,LeAnn Rimes,Probably Wouldn't Be This Way,11,8,21,2006-06-17
2006-06-17_12,12,Chris Rice,When Did You Fall (In Love With Me),13,12,17,2006-06-17
2006-06-17_13,13,Sheryl Crow & Sting,Always On Your Side,12,12,16,2006-06-17
2006-06-17_14,14,Nick Lachey,What's Left Of Me,15,14,11,2006-06-17
2006-06-17_15,15,Carrie Underwood,Some Hearts,14,12,17,2006-06-17
2006-06-17_16,16,Bon Jovi,Who Says You Can't Go Home,16,16,17,2006-06-17
2006-06-17_17,17,Taylor Hicks,Do I Make You Proud,21,17,2,2006-06-17
2006-06-17_18,18,MercyMe,So Long Self,18,18,7,2006-06-17
2006-06-17_19,19,Bo Bice,The Real Thing,19,19,8,2006-06-17
2006-06-17_20,20,Nicol Sponberg,Crazy In Love,17,17,9,2006-06-17
2006-06-17_21,21,Five for Fighting,The Riddle,23,21,3,2006-06-17
2006-06-17_22,22,Hootie & The Blowfish,Get Out Of My Mind,20,17,13,2006-06-17
2006-06-17_23,23,Rascal Flatts,What Hurts The Most,28,23,6,2006-06-17
2006-06-17_24,24,Chicago,Love Will Come Back,24,24,6,2006-06-17
2006-06-17_25,25,Kelly Clarkson,Walk Away,22,22,11,2006-06-17
2006-06-17_26,26,KT Tunstall,Black Horse & The Cherry Tree,26,26,5,2006-06-17
2006-06-17_27,27,Carrie Underwood,"Jesus, Take The Wheel",25,23,13,2006-06-17
2006-06-17_28,28,The Fray,Over My Head (Cable Car),29,26,7,2006-06-17
2006-06-17_29,29,Train,Cab,27,19,18,2006-06-17
2006-06-17_30,30,Jack Johnson,Upside Down,32,30,4,2006-06-17
2006-06-17_31,31,Dian Diaz,Colour Everywhere,31,23,19,2006-06-17
2006-06-17_32,32,Cascada,Everytime We Touch,30,28,8,2006-06-17
2006-06-17_33,33,Nickelback,Savin' Me,33,31,5,2006-06-17
2006-06-17_34,34,Chantal Chamandy,Feels Like Love,34,32,6,2006-06-17
2006-06-17_35,35,Heather Small,Proud,0,35,1,2006-06-17
2006-06-17_36,36,Darren Hayes,So Beautiful,36,27,16,2006-06-17
2006-06-17_37,37,Dixie Chicks,Not Ready To Make Nice,37,32,9,2006-06-17
2006-06-17_38,38,Jade,Lay Me Down,35,32,9,2006-06-17
2006-06-17_39,39,Jewel,Again And Again,38,37,5,2006-06-17
2006-06-17_40,40,Livingston Taylor Featuring Carly Simon,Best Of Friends,39,39,2,2006-06-17
2006-06-24_1,1,Daniel Powter,Bad Day,1,1,24,2006-06-24
2006-06-24_2,2,James Blunt,You're Beautiful,2,1,44,2006-06-24
2006-06-24_3,3,Kelly Clarkson,Because Of You,5,3,35,2006-06-24
2006-06-24_4,4,Lifehouse,You And Me,3,1,51,2006-06-24
2006-06-24_5,5,Natasha Bedingfield,Unwritten,4,4,15,2006-06-24
2006-06-24_6,6,Michael Buble,Save The Last Dance For Me,6,5,22,2006-06-24
2006-06-24_7,7,Rob Thomas,Ever The Same,7,7,26,2006-06-24
2006-06-24_8,8,Keith Urban,Making Memories Of Us,8,5,24,2006-06-24
2006-06-24_9,9,Faith Hill,Like We Never Loved At All,9,9,37,2006-06-24
2006-06-24_10,10,Rob Thomas,Lonely No More,10,1,70,2006-06-24
2006-06-24_11,11,Chris Rice,When Did You Fall (In Love With Me),12,11,18,2006-06-24
2006-06-24_12,12,Nick Lachey,What's Left Of Me,14,12,12,2006-06-24
2006-06-24_13,13,LeAnn Rimes,Probably Wouldn't Be This Way,11,8,22,2006-06-24
2006-06-24_14,14,Sheryl Crow & Sting,Always On Your Side,13,12,17,2006-06-24
2006-06-24_15,15,Bon Jovi,Who Says You Can't Go Home,16,15,18,2006-06-24
2006-06-24_16,16,Carrie Underwood,Some Hearts,15,12,18,2006-06-24
2006-06-24_17,17,Taylor Hicks,Do I Make You Proud,17,17,3,2006-06-24
2006-06-24_18,18,Bo Bice,The Real Thing,19,18,9,2006-06-24
2006-06-24_19,19,Five for Fighting,The Riddle,21,19,4,2006-06-24
2006-06-24_20,20,Nicol Sponberg,Crazy In Love,20,17,10,2006-06-24
2006-06-24_21,21,Rascal Flatts,What Hurts The Most,23,21,7,2006-06-24
2006-06-24_22,22,MercyMe,So Long Self,18,18,8,2006-06-24
2006-06-24_23,23,Chicago,Love Will Come Back,24,23,7,2006-06-24
2006-06-24_24,24,KT Tunstall,Black Horse & The Cherry Tree,26,24,6,2006-06-24
2006-06-24_25,25,Kelly Clarkson,Walk Away,25,22,12,2006-06-24
2006-06-24_26,26,Hootie & The Blowfish,Get Out Of My Mind,22,17,14,2006-06-24
2006-06-24_27,27,Carrie Underwood,"Jesus, Take The Wheel",27,23,14,2006-06-24
